,State,City,Population,Total_law_enforcement_employees,Total_crime,employees_perCapita,crime_perCapita
0,ALABAMA,Abbeville,2539.0,10,57.0,0.003938558487593541,0.022449783379283182
1,ALABAMA,Alabaster,33963.0,87,307.0,0.002561611165091423,0.00903924859405824
2,ALABAMA,Alexander City,14066.0,64,323.0,0.004549978671974975,0.0229631736101237
3,ALABAMA,Altoona,913.0,3,11.0,0.0032858707557502738,0.012048192771084338
4,ALABAMA,Andalusia,8643.0,39,298.0,0.004512322110378341,0.03447876894596784
6,ALABAMA,Arab,8437.0,35,331.0,0.004148393978902453,0.039231954486191774
7,ALABAMA,Argo,4306.0,7,33.0,0.001625638643752903,0.007663725034835114
9,ALABAMA,Ashville,2412.0,4,61.0,0.001658374792703151,0.02529021558872305
10,ALABAMA,Athens,29411.0,59,333.0,0.002006052157356091,0.011322294379653871
11,ALABAMA,Attalla,5804.0,26,223.0,0.004479669193659545,0.03842177808407995
12,ALABAMA,Auburn,70003.0,135,977.0,0.0019284887790523262,0.01395654471951202
13,ALABAMA,Bay Minette,9647.0,30,126.0,0.003109775059604022,0.013061055250336892
15,ALABAMA,Bear Creek,1061.0,3,26.0,0.002827521206409048,0.024505183788878417
16,ALABAMA,Blountsville,1654.0,5,20.0,0.003022974607013301,0.012091898428053204
17,ALABAMA,Brent,4663.0,7,74.0,0.0015011794981771391,0.015869611837872614
18,ALABAMA,Bridgeport,2258.0,10,50.0,0.0044286979627989375,0.022143489813994686
19,ALABAMA,Brilliant,859.0,1,22.0,0.0011641443538998836,0.025611175785797437
22,ALABAMA,Carrollton,927.0,3,9.0,0.003236245954692557,0.009708737864077669
23,ALABAMA,Cedar Bluff,1830.0,5,47.0,0.00273224043715847,0.025683060109289616
24,ALABAMA,Centre,3624.0,14,127.0,0.003863134657836645,0.035044150110375274
25,ALABAMA,Centreville,2538.0,5,43.0,0.001970055161544523,0.0169424743892829
26,ALABAMA,Chatom,1157.0,3,10.0,0.0025929127052722557,0.00864304235090752
28,ALABAMA,Chickasaw,5618.0,20,129.0,0.00355998576005696,0.02296190815236739
30,ALABAMA,Collinsville,1939.0,8,29.0,0.0041258380608561115,0.014956162970603403
31,ALABAMA,Coosada,1325.0,5,21.0,0.0037735849056603774,0.015849056603773583
32,ALABAMA,Creola,2043.0,8,41.0,0.003915810083210965,0.020068526676456193
33,ALABAMA,Cullman,16696.0,58,629.0,0.003473885960709152,0.03767369429803546
35,ALABAMA,Daleville,5075.0,21,122.0,0.004137931034482759,0.024039408866995075
36,ALABAMA,Daphne,28387.0,89,287.0,0.0031352379610385035,0.010110261739528658
39,ALABAMA,Dothan,69747.0,224,348.0,0.0032116076677133065,0.004989461912340316
41,ALABAMA,Eufaula,11489.0,43,568.0,0.003742710418661328,0.0494385934372008
43,ALABAMA,Excel,610.0,3,21.0,0.004918032786885246,0.03442622950819672
44,ALABAMA,Fairhope,24467.0,67,122.0,0.0027383823108676993,0.0049863080884456614
45,ALABAMA,Fayette,4214.0,11,51.0,0.0026103464641670624,0.01210251542477456
46,ALABAMA,Florence,41325.0,139,1453.0,0.0033635813672111313,0.03516031457955233
47,ALABAMA,Foley,22166.0,93,384.0,0.00419561490571145,0.01732382928809889
48,ALABAMA,Frisco City,1107.0,3,17.0,0.0027100271002710027,0.015356820234869015
49,ALABAMA,Fultondale,9365.0,34,287.0,0.003630539241857982,0.030646022423918846
51,ALABAMA,Geneva,4246.0,13,193.0,0.0030617051342439945,0.045454545454545456
52,ALABAMA,Georgiana,1601.0,8,20.0,0.004996876951905059,0.012492192379762648
54,ALABAMA,Glencoe,5074.0,10,35.0,0.001970831690973591,0.006897910918407568
56,ALABAMA,Guin,2238.0,6,32.0,0.002680965147453083,0.014298480786416443
57,ALABAMA,Hackleburg,1227.0,2,30.0,0.0016299918500407497,0.02444987775061125
58,ALABAMA,Hamilton,6621.0,16,26.0,0.0024165533907264765,0.003926899259930524
59,ALABAMA,Harpersville,1757.0,6,54.0,0.003414911781445646,0.030734206033010813
60,ALABAMA,Hayden,1359.0,3,20.0,0.002207505518763797,0.014716703458425313
62,ALABAMA,Heflin,3400.0,12,50.0,0.0035294117647058825,0.014705882352941176
63,ALABAMA,Hokes Bluff,4237.0,9,44.0,0.002124144441822044,0.01038470616001888
66,ALABAMA,Jasper,13177.0,23,467.0,0.0017454655839720726,0.03544054033543295
67,ALABAMA,Killen,958.0,4,17.0,0.0041753653444676405,0.017745302713987474
68,ALABAMA,Kimberly,3688.0,7,14.0,0.001898047722342733,0.003796095444685466
69,ALABAMA,Kinston,553.0,1,24.0,0.0018083182640144665,0.0433996383363472
71,ALABAMA,Leesburg,1017.0,4,11.0,0.003933136676499509,0.010816125860373648
73,ALABAMA,Level Plains,1944.0,6,46.0,0.0030864197530864196,0.023662551440329218
75,ALABAMA,Lincoln,7058.0,21,215.0,0.0029753471238311135,0.030461887220175687
