"","Date Rptd","DATE OCC","AREA NAME","Crm Cd Desc","Vict Age","Vict Sex","Vict Descent","Vict Birth Year"
"500000","2022-08-15","2022-08-15","Newton","BRANDISH WEAPON","35","F","B","1988"
"500001","2022-08-26","2022-08-26","West Valley","TRESPASSING","27","F","H","1996"
"500002","2022-06-29","2022-06-29","Southeast","BATTERY - SIMPLE ASSAULT","36","F","B","1987"
"500003","2022-08-12","2022-08-12","Wilshire","BATTERY - SIMPLE ASSAULT","45","M","H","1978"
"500004","2022-10-22","2022-10-22","Olympic","THEFT PLAIN - PETTY ($950 & UNDER)","22","F","A","2001"
"500005","2022-03-23","2022-03-23","Wilshire","BURGLARY","32","F","O","1991"
"500006","2022-07-30","2022-07-30","Van Nuys","RAPE, FORCIBLE","21","F","H","2002"
"500007","2022-11-13","2022-11-13","Southeast","VIOLATION OF RESTRAINING ORDER","56","F","B","1967"
"500008","2022-01-11","2022-01-11","Wilshire","BURGLARY","65","M","A","1958"
"500009","2022-02-07","2022-02-07","Southeast","BATTERY - SIMPLE ASSAULT","30","M","H","1993"
"500010","2022-04-17","2022-04-17","Central","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","63","M","H","1960"
"500011","2022-01-26","2022-01-26","Northeast","VIOLATION OF COURT ORDER","51","M","H","1972"
"500012","2022-05-06","2022-05-06","77th Street","BURGLARY","35","M","H","1988"
"500013","2022-12-26","2022-12-26","Harbor","BATTERY - SIMPLE ASSAULT","18","F","H","2005"
"500014","2022-03-31","2022-03-31","Southeast","THEFT OF IDENTITY","44","F","B","1979"
"500015","2022-07-15","2022-07-15","Southeast","THEFT, PERSON","33","F","H","1990"
"500016","2022-02-22","2022-02-22","77th Street","THEFT OF IDENTITY","37","M","W","1986"
"500017","2022-12-02","2022-12-02","Central","BATTERY - SIMPLE ASSAULT","28","M","H","1995"
"500018","2022-12-05","2022-12-05","Olympic","BURGLARY","28","M","B","1995"
"500019","2022-11-04","2022-11-04","West Valley","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","27","F","B","1996"
"500020","2022-02-21","2022-02-21","Southeast","VIOLATION OF RESTRAINING ORDER","39","F","H","1984"
"500021","2022-01-26","2022-01-26","Southwest","BURGLARY","28","M","H","1995"
"500022","2022-01-15","2022-01-15","Van Nuys","BURGLARY","31","M","K","1992"
"500023","2022-03-28","2022-03-28","Mission","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","63","M","H","1960"
"500024","2022-12-02","2022-12-02","West Valley","INTIMATE PARTNER - SIMPLE ASSAULT","36","F","H","1987"
"500025","2022-10-14","2022-10-14","Pacific","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","71","F","W","1952"
"500026","2022-02-12","2022-02-12","Central","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","30","F","W","1993"
"500027","2022-05-21","2022-05-21","Wilshire","INTIMATE PARTNER - AGGRAVATED ASSAULT","31","F","W","1992"
"500028","2022-11-04","2022-11-04","West Valley","THEFT OF IDENTITY","40","F","H","1983"
"500029","2022-08-01","2022-08-01","Southeast","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","72","F","B","1951"
"500030","2022-10-21","2022-10-21","N Hollywood","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","35","F","W","1988"
"500031","2022-08-29","2022-08-29","Southeast","INTIMATE PARTNER - SIMPLE ASSAULT","23","F","O","2000"
"500032","2022-12-09","2022-12-09","Southwest","SEXUAL PENETRATION W/FOREIGN OBJECT","53","F","B","1970"
"500033","2022-05-12","2022-05-12","Rampart","BATTERY - SIMPLE ASSAULT","26","M","H","1997"
"500034","2022-09-08","2022-09-08","Wilshire","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","22","X","X","2001"
"500035","2022-10-11","2022-10-11","Central","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","41","M","W","1982"
"500036","2022-11-30","2022-11-30","Hollenbeck","THEFT PLAIN - PETTY ($950 & UNDER)","18","M","H","2005"
"500037","2022-02-21","2022-02-21","Foothill","INTIMATE PARTNER - SIMPLE ASSAULT","22","F","H","2001"
"500038","2022-06-13","2022-06-13","Olympic","BRANDISH WEAPON","46","M","O","1977"
"500039","2022-03-03","2022-03-03","Olympic","BRANDISH WEAPON","31","F","W","1992"
"500040","2022-03-03","2022-03-03","Van Nuys","ROBBERY","28","M","B","1995"
"500041","2022-03-28","2022-03-28","Hollywood","BURGLARY","52","F","W","1971"
"500042","2022-07-23","2022-07-23","Northeast","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","37","M","H","1986"
"500043","2022-06-28","2022-06-28","West Valley","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","58","F","H","1965"
"500044","2022-12-25","2022-12-25","Olympic","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","25","M","B","1998"
"500045","2022-05-11","2022-05-11","Van Nuys","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","39","M","W","1984"
"500046","2022-04-05","2022-04-05","Van Nuys","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","41","F","W","1982"
"500047","2022-10-03","2022-10-03","Northeast","BRANDISH WEAPON","66","M","H","1957"
"500048","2022-08-02","2022-08-02","Olympic","BRANDISH WEAPON","33","M","H","1990"
"500049","2022-01-13","2022-01-13","Foothill","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","40","M","O","1983"
"500050","2022-07-05","2022-07-05","Pacific","BATTERY - SIMPLE ASSAULT","28","M","H","1995"
"500051","2022-05-28","2022-05-28","Van Nuys","BURGLARY FROM VEHICLE","40","F","W","1983"
"500052","2022-03-16","2022-03-16","West Valley","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","31","M","H","1992"
"500053","2022-10-23","2022-10-23","Harbor","BATTERY - SIMPLE ASSAULT","16","F","H","2007"
"500054","2022-12-06","2022-12-06","Wilshire","BATTERY - SIMPLE ASSAULT","30","M","H","1993"
"500055","2022-02-17","2022-02-17","Pacific","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","32","F","W","1991"
"500056","2022-04-18","2022-04-18","Northeast","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","33","M","A","1990"
"500057","2022-07-21","2022-07-21","Olympic","ROBBERY","26","F","H","1997"
"500058","2022-02-04","2022-02-04","Hollenbeck","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","47","F","H","1976"
